,job_tags
2802,['Ruby on Rails' 'hybrid work' 'Remote Work']
3347,['SQL Server' 'Amazon Redshift' 'python']
1729,['Electronics Industry']
7219,['marketing' 'Communication' 'Microsoft Office']
7736,['資安' '維運' 'Cybersecurity']
3286,['Image Processing' 'Pattern Recognition' 'C++']
10841,['Microsoft Office' 'Excel']
59,[]
2333,['人事考勤' '人事管理' '人事招聘']
4545,[]
4700,['台北市中正區忠孝西路一段66號26樓' 'Software Development' 'Scrum']
9094,['JavaScript' 'HTML5' 'CSS3']
10526,['銷售技巧' '銷售產品']
9134,['vue.js' 'JavaScript']
7672,[]
2664,['114台灣台北市內湖區' 'HTTP' 'Node.js']
5055,['C++' 'OpenCL' 'OpenGL']
10079,['TOIEC' 'A.P.S.基礎採購檢定' '認證採購管理師C.P.P.']
2122,[]
2023,[]
10008,['Python' 'C++' 'Rust']
3857,[]
6325,['Communication' 'Google Drive' 'Excel']
3645,[]
353,[]
9724,[]
11207,['110台灣台北市信義區']
8307,['Banking' 'Customer Service']
9178,['MySQL' 'HTML' 'jQuery']
783,['Photoshop' 'Illustrator' '平面設計']
10472,['Excel' 'Word']
5725,['Word' 'PowerPoint' 'Excel']
10186,[]
9489,['區塊鏈' '加密貨幣' 'nft']
1027,['CSS' 'Figma' 'Adobe Photoshop']
8155,[]
10225,[]
10850,['Google Analytics' '數位行銷' '線上課程']
5433,['SAP BI/BW/HANA']
6136,['Excel' 'PowerPoint' 'Microsoft Office']
1730,['Electronics Industry']
1962,[]
6788,['word' 'powerpoint' 'excel']
7390,['Copywriting' 'photoshop' 'illustrator']
7965,[]
4335,[]
10598,[]
5400,['UEFI' 'python3' 'Linux']
9918,['Google Drive' 'Communication']
7548,['word' 'excel']
3062,[]
1669,['Taipei' 'Taiwan' 'AI & Machine Learning']
10097,['Django' 'Python' 'Bootstrap']
4119,['javascript' '+python' '+AWS']
4420,['Java' 'MySQL' 'Linux']
8747,[]
3038,[]
8084,[]
9078,['React.js' 'TypeScript' 'JavaScript']
4510,[]
6304,[]
1635,[]
1303,[]
3206,[]
1205,['photoshop' 'illustrator' 'powerpoint']
4073,[]
1654,['TX' 'RX' 'SI/PI']
10557,['Catia' 'Solidworks' 'SolidWorks']
7431,['excel' 'powerpoint' 'word']
1243,['講師' 'NGO' '設計']
8223,['#2023新鮮人職缺' 'sales' '業務']
3305,[]
1055,['Figma']
2648,['Vue' 'Spring' 'MVC']
8672,['Electronics Industry']
8919,['台北' '西湖捷運站' '內湖科技園區']
6558,['word' 'powerpoint' 'excel']
6802,[]
3711,['SystemVerilog' 'Verilog']
2030,[]
6426,['SAP' 'ERP']
9193,[]
10340,['DevOps' 'AWS' 'CI/CD']
2160,['Technical Artist' 'Unity' 'HTC']
10131,['word' 'excel' 'powerpoint']
3235,['C#' 'ASP.NET' 'JavaScript']
1035,[]
2410,['台灣台北' '103台灣台北市大同區' 'Java']
3060,['backend' 'rust' 'api']
8381,['Microsoft Office' 'word' 'Excel']
309,['Customer Service' 'Customer Support' 'Japanese']
8241,['word' 'powerpoint' 'excel']
9304,['powerpoint' 'excel' 'google drive']
1871,['VC' 'startups' 'Investment']
10267,['捷運六張犁' 'Product Management' 'Project Management']
1313,['C++' 'Python' 'Matlab']
7913,['業務' '業務開發' '業務行銷']
3288,['C++']
3841,['Vue.js 3' 'HTML' 'JavaScript']
1304,[]
2467,['Android' 'Android Development']
9135,['javascript' '+HTML5' '+jQuery']
1208,['illustrator' 'photoshop' 'powerpoint']
6407,['word' 'google drive' 'excel']
696,['3ds max' 'Maya' 'Adobe Photoshop']
841,['Photoshop' 'illustrator']
9853,['業務開發' '客戶關係維護' '提案與簡報技巧']
1714,['外商環境' 'Tier1品牌廠' 'power engineer']
7995,[]
6748,[]
8720,['Architect']
3571,['MIS' '混和雲' '網路管理']
4992,[]
4182,['Objective-C/Swift' 'IOS Development' 'Swift']
3142,['CTO' 'manager' 'Software Development']
4348,['ASP.NET(C#)' 'MSSQL' 'MVC-web']
9177,[]
1080,['Illustrator' 'Adobe Photoshop' 'Premiere']
3337,[]
6766,['廣告企劃案╱文案撰寫' '數位行銷企劃' '數位廣告']
3373,['CakeResume 2023 Career Fair' 'RDBMS' '數據分析']
7195,['Communication' 'Excel' 'PowerPoint']
10562,['photoshop' 'illustrator']
6288,['CakeResume 2023 Career Fair']
6431,[]
9374,[]
4265,['linux' 'docker' 'AWS']
364,[]
7910,['Operations & Management' 'Operations' 'sales']
5757,['供應鏈' '竹科' '倉管']
4051,['台北' 'javascript' 'MySQL']
9718,[]
3664,['SRE' 'DevOps' 'Site Reliability Engineer']
4786,[]
5957,[]
2692,[]
6472,['word' 'powerpoint' 'excel']
3935,[]
11454,[]
4658,[]
5574,['Python' 'AWS']
6314,[]
2129,[]
9315,['word' 'photoshop' 'illustrator']
8122,[]
2433,['Ecommerce' 'Android' 'Bookstore']
7526,[]
10779,['台北市' 'illustrator' 'google drive']
2800,['AI' 'Backend' 'Python']
1403,[]
4445,[]
1911,['Excel' 'Word' 'Microsoft Office']
2679,['MS SQL' 'Excel' 'Outlook']
2308,[]
4115,['C++' 'C#' 'Python']
10857,[]
1388,[]
2539,['Android' 'Kotlin']
3822,['Front-End Development' 'Front End' 'React']
3895,['台灣' 'JavaScript' 'website']
11180,['Excel' 'PowerPoint' 'Word']
274,['Cantonese (native)' 'English' 'Chinese Language']
391,[]
4372,[]
11500,['PowerPoint' 'Excel' 'Microsoft Office']
4533,[]
4278,['韌體工程師' 'BLDC' 'PMSM']
3438,['Python' 'R' 'SQL.']
3843,['React Native' 'React.js']
11331,[]
11010,['backend' 'fullstack' 'AWS']
2694,['JavaScript']
2689,['nodejs' 'Backend' 'Python']
5437,[]
7611,[]
7234,[]
9105,['+vue.js' '+HTML' '+JavaScript']
5663,['+DDoS' '+DNS' '+Linux']
1756,[]
438,[]
10456,['Customer Service' 'Store Staff' 'operation']
6767,['活動企劃' '展演' '策展']
8564,[]
2491,['JavaScript' 'Android Studio' 'Git']
3990,['TypeScript' 'React.js' 'NodeJS']
10487,['Word' 'Excel' 'Microsoft Office']
3953,['CakeResume 2023 Career Fair' 'Typescript' 'RWD']
7059,['Word' 'PowerPoint' 'Excel']
9175,[]
4630,['台北' 'CakeResume 2023 Career Fair']
3478,['maintenance' 'performance tuning' 'T-SQL']
10370,['105台灣台北市松山區' 'IOS' 'IOS Development']
8968,[]
1394,['電子工程師' 'Electronics Industry']
2857,['node.js' 'Backend Development' '後端工程師']
2006,[]
5163,['ISO27001' 'ECSA' 'CEH/CHFI']
9509,['專案成本╱品質╱風險管理' '專案溝通╱整合管理' '專案管理架構及專案說明']
10674,['Flutter' 'Git' 'iOS']
5563,['CakeResume 2023 Career Fair']
6688,[]
3322,['Leadership' 'Management' 'backend']
3069,['AWS' 'AWS / DevOps' 'NodeJS']
2941,['MariaDB / MySQL' 'GCP' 'PHP']
11175,[]
124,['金融科技' '客服專員']
7784,['Microsoft Office' 'Excel']
7187,['國父紀念館站' '大安區' '台北']
2778,['Java' 'Backend']
626,['After Effects' 'Spine 2D' 'MAYA']
5547,['HTML5' 'CSS' 'JavaScript']
2299,['員工關係管理' '福利管理' '績效與薪酬管理']
